Port,Time,Utilization
6911,11:07:43.565,3.125
6911,11:07:43.578,3.125
6911,11:07:43.754,3.125
6911,11:07:44.262,4.6875
6911,11:07:44.773,4.6875
6911,11:07:45.278,6.25
6911,11:07:45.586,7.8125
6911,11:07:45.589,7.8125
6911,11:07:45.769,7.8125
6911,11:07:45.781,7.8125
6911,11:07:46.276,7.8125
6911,11:07:46.286,7.8125
6911,11:07:46.788,7.8125
6911,11:07:46.794,7.8125
6911,11:07:47.291,7.8125
6911,11:07:47.298,7.8125
6911,11:07:47.798,7.8125
6911,11:07:48.304,7.8125
6911,11:07:48.815,9.375
6911,11:07:49.324,9.375
6911,11:07:49.831,9.375
6911,11:07:50.334,9.375
6911,11:07:50.838,9.375
6911,11:07:51.344,9.375
6911,11:07:51.847,9.375
6911,11:07:52.357,9.375
6911,11:07:52.864,9.375
6911,11:07:53.373,9.375
6911,11:07:53.877,9.375
6911,11:07:54.017,12.5
6911,11:07:54.383,18.75
6911,11:07:54.894,18.75
6911,11:07:55.401,18.75
6911,11:07:55.905,21.875
6911,11:07:56.411,21.875
6911,11:07:56.919,21.875
6911,11:07:57.427,21.875
6911,11:07:57.981,21.875
6911,11:07:58.488,21.875
6911,11:07:58.981,21.875
6911,11:07:59.081,21.875
6911,11:07:59.487,26.5625
6911,11:07:59.961,26.5625
6911,11:08:00.467,26.5625
6911,11:08:00.971,26.5625
6911,11:08:01.529,26.5625
6911,11:08:01.994,26.5625
6911,11:08:05.439,26.5625
6911,11:08:09.560,26.5625
6911,11:08:09.898,28.125
6911,11:08:16.657,29.6875
6911,11:08:17.132,29.6875
6911,11:08:20.034,29.6875
6911,11:08:20.073,29.6875
6911,11:08:20.586,29.6875
6911,11:08:21.089,29.6875
6911,11:08:21.603,29.6875
6911,11:08:22.105,29.6875
6911,11:08:22.609,29.6875
6911,11:08:23.120,29.6875
6911,11:08:23.633,29.6875
6911,11:08:24.108,29.6875
6911,11:08:24.134,29.6875
6911,11:08:24.164,29.6875
6911,11:08:24.643,29.6875
6911,11:08:24.669,29.6875
6911,11:08:25.146,29.6875
6911,11:08:25.656,29.6875
6911,11:08:26.158,29.6875
6911,11:08:32.347,31.25
6911,11:08:32.761,31.25
6911,11:08:33.265,31.25
6911,11:08:33.561,31.25
6911,11:08:33.719,31.25
6911,11:08:33.729,31.25
6911,11:08:34.230,31.25
6911,11:08:34.236,31.25
6911,11:08:34.795,31.25
6911,11:08:41.880,31.25
6911,11:08:42.252,31.25
6911,11:08:42.299,31.25
6911,11:08:42.798,31.25
6911,11:08:43.308,31.25
6911,11:08:43.816,31.25
6911,11:08:44.334,31.25
6911,11:08:44.818,31.25
6911,11:08:45.326,31.25
6911,11:08:45.829,31.25
6911,11:08:46.333,31.25
6911,11:08:46.843,31.25
6911,11:08:47.353,31.25
