Collection,Time,Throughput,FileId,Topic
,10:15:13.142,0,log-1,topic_priority
,10:15:33.143,3,log-1,topic_priority
,10:15:53.147,6,log-1,topic_priority
,10:16:13.146,6,log-1,topic_priority
,10:16:33.147,5,log-1,topic_priority
,10:16:53.158,4,log-1,topic_priority
,10:17:13.155,5,log-1,topic_priority
,10:17:33.155,4,log-1,topic_priority
,10:17:53.154,5,log-1,topic_priority
,10:18:13.157,4,log-1,topic_priority
,10:18:33.156,3,log-1,topic_priority
,10:18:53.164,3,log-1,topic_priority
,10:19:13.164,4,log-1,topic_priority
,10:19:33.169,3,log-1,topic_priority
,10:19:53.164,3,log-1,topic_priority
,10:20:13.166,3,log-1,topic_priority
,10:20:33.165,3,log-1,topic_priority
,10:20:53.163,4,log-1,topic_priority
,10:21:13.170,5,log-1,topic_priority
,10:21:33.176,3,log-1,topic_priority
,10:21:53.175,3,log-1,topic_priority
,10:22:13.180,0,log-1,topic_priority
,10:22:33.172,0,log-1,topic_priority
,10:22:53.182,0,log-1,topic_priority
,10:23:13.187,0,log-1,topic_priority
,10:23:33.182,0,log-1,topic_priority
,10:23:53.188,0,log-1,topic_priority
,10:24:13.181,0,log-1,topic_priority
,10:24:33.198,0,log-1,topic_priority
,10:24:53.198,0,log-1,topic_priority
,10:25:13.199,0,log-1,topic_priority
,10:25:33.193,0,log-1,topic_priority
,10:25:53.197,0,log-1,topic_priority
,10:26:13.193,0,log-1,topic_priority
,10:26:33.203,0,log-1,topic_priority
,10:26:53.208,0,log-1,topic_priority
,10:27:13.209,0,log-1,topic_priority
,10:27:33.192,0,log-1,topic_priority
,10:27:53.205,0,log-1,topic_priority
,10:28:13.211,0,log-1,topic_priority
,10:28:33.204,0,log-1,topic_priority
,10:28:53.212,0,log-1,topic_priority
,10:29:13.216,0,log-1,topic_priority
,10:29:33.214,0,log-1,topic_priority
,10:15:13.150,0,log-1,topic_normal
,10:15:33.143,3,log-1,topic_normal
,10:15:53.147,3,log-1,topic_normal
