Topic,Time,Latency,FileId
trans_topic_priority,14:41:17.892,54.9787,log-1
trans_topic_priority,14:41:25.850,6.9159,log-1
trans_topic_priority,14:41:31.951,7.093,log-1
trans_topic_priority,14:41:38.570,6.3643,log-1
trans_topic_priority,14:41:44.281,6.2247,log-1
trans_topic_priority,14:41:50.990,6.3546,log-1
trans_topic_priority,14:41:56.440,7.7951,log-1
trans_topic_priority,14:42:02.426,7.9578,log-1
trans_topic_priority,14:42:09.087,7.3003,log-1
trans_topic_priority,14:42:15.110,6.5344,log-1
trans_topic_priority,14:42:21.381,7.4293,log-1
trans_topic_priority,14:42:28.344,9.1314,log-1
trans_topic_priority,14:42:35.994,8.5662,log-1
trans_topic_priority,14:42:42.798,7.0315,log-1
trans_topic_priority,14:42:49.393,9.0144,log-1
trans_topic_priority,14:42:56.816,7.0053,log-1
trans_topic_priority,14:43:03.462,7.419,log-1
trans_topic_priority,14:43:09.982,8.5521,log-1
trans_topic_priority,14:43:16.048,7.2936,log-1
trans_topic_priority,14:43:21.994,12.4538,log-1
trans_topic_priority,14:43:28.976,8.4111,log-1
trans_topic_priority,14:43:36.224,10.2007,log-1
trans_topic_priority,14:43:42.257,7.2568,log-1
trans_topic_priority,14:43:49.609,6.939,log-1
trans_topic_priority,14:43:56.866,7.2539,log-1
trans_topic_priority,14:44:03.456,7.7567,log-1
trans_topic_priority,14:44:10.706,6.8611,log-1
trans_topic_priority,14:44:17.357,7.1987,log-1
trans_topic_priority,14:44:23.595,7.8146,log-1
trans_topic_priority,14:44:30.891,43.1659,log-1
trans_topic_priority,14:44:38.064,7.2612,log-1
trans_topic_priority,14:44:45.415,7.3136,log-1
trans_topic_priority,14:44:52.413,9.6081,log-1
trans_topic_priority,14:45:00.121,9.5511,log-1
trans_topic_priority,14:45:07.517,8.6577,log-1
trans_topic_priority,14:45:13.007,7.5326,log-1
trans_topic_priority,14:45:20.437,7.4101,log-1
trans_topic_priority,14:45:27.186,7.9085,log-1
trans_topic_priority,14:45:34.281,8.4026,log-1
trans_topic_priority,14:45:41.554,7.4032,log-1
trans_topic_priority,14:45:48.112,12.9851,log-1
trans_topic_priority,14:45:56.466,7.5667,log-1
trans_topic_priority,14:46:04.324,8.305,log-1
trans_topic_priority,14:46:11.250,8.2951,log-1
trans_topic_priority,14:46:17.255,7.9305,log-1
trans_topic_priority,14:46:23.037,9.408,log-1
trans_topic_priority,14:46:29.190,10.9561,log-1
trans_topic_priority,14:46:36.607,7.4787,log-1
trans_topic_priority,14:46:42.815,11.1928,log-1
trans_topic_priority,14:46:48.794,8.3763,log-1
trans_topic_priority,14:46:55.863,8.0906,log-1
trans_topic_priority,14:47:03.135,7.5903,log-1
trans_topic_priority,14:47:10.126,9.9229,log-1
trans_topic_priority,14:47:17.719,12.2514,log-1
trans_topic_priority,14:47:24.375,10.1995,log-1
trans_topic_priority,14:47:31.124,10.3166,log-1
trans_topic_priority,14:47:37.929,9.6756,log-1
trans_topic_priority,14:47:44.326,13.1254,log-1
trans_topic_priority,14:47:49.605,8.2559,log-1
trans_topic_priority,14:47:55.585,14.1484,log-1
trans_topic_priority,14:48:03.409,12.1296,log-1
trans_topic_priority,14:48:10.171,13.3709,log-1
trans_topic_priority,14:48:16.575,10.1586,log-1
trans_topic_priority,14:48:23.043,9.2393,log-1
trans_topic_priority,14:48:30.300,9.7459,log-1
trans_topic_priority,14:48:35.522,10.1215,log-1
trans_topic_priority,14:48:41.963,10.4374,log-1
trans_topic_priority,14:48:48.072,20.0263,log-1
trans_topic_priority,14:48:54.921,8.4795,log-1
trans_topic_priority,14:49:02.993,10.2337,log-1
trans_topic_priority,14:49:09.698,9.9081,log-1
trans_topic_priority,14:49:15.804,10.4874,log-1
trans_topic_priority,14:49:22.506,12.7927,log-1
trans_topic_priority,14:49:29.329,17.5586,log-1
trans_topic_priority,14:49:36.093,16.9461,log-1
trans_topic_priority,14:49:42.322,15.2469,log-1
trans_topic_priority,14:49:49.530,18.4551,log-1
trans_topic_priority,14:49:56.781,10.7902,log-1
trans_topic_priority,14:50:03.348,9.6939,log-1
trans_topic_priority,14:50:10.861,9.0784,log-1
trans_topic_priority,14:50:18.134,10.2909,log-1
trans_topic_priority,14:50:24.785,9.7875,log-1
trans_topic_priority,14:50:31.506,8.5795,log-1
trans_topic_priority,14:50:38.064,9.929,log-1
trans_topic_priority,14:50:44.942,8.7858,log-1
trans_topic_priority,14:50:50.379,9.1618,log-1
trans_topic_priority,14:50:57.189,11.868,log-1
trans_topic_priority,14:51:03.725,16.6399,log-1
trans_topic_priority,14:51:09.995,9.4553,log-1
trans_topic_priority,14:51:16.477,9.4459,log-1
trans_topic_priority,14:51:22.526,10.6332,log-1
trans_topic_priority,14:51:29.534,9.3698,log-1
trans_topic_priority,14:51:36.145,9.2545,log-1
trans_topic_priority,14:51:42.123,10.3038,log-1
