Topic,Time,Latency,FileId
topic_priority,12:50:59.789,1010.3657,log-1
topic_priority,12:51:01.269,967.7726,log-1
topic_priority,12:51:01.285,999.5452,log-1
topic_priority,12:51:02.792,9.324,log-1
topic_priority,12:51:03.337,23.0833,log-1
topic_priority,12:51:03.349,19.2346,log-1
topic_priority,12:51:03.376,8.2079,log-1
topic_priority,12:51:05.398,9.3259,log-1
topic_priority,12:51:05.850,10.2081,log-1
topic_priority,12:51:06.305,9.2347,log-1
topic_priority,12:51:06.312,8.0523,log-1
topic_priority,12:51:09.092,11.3459,log-1
topic_priority,12:51:11.520,10.1688,log-1
topic_priority,12:51:11.684,11.6498,log-1
topic_priority,12:51:14.375,11.1264,log-1
topic_priority,12:51:16.308,10.0213,log-1
topic_priority,12:51:17.410,7.8174,log-1
topic_priority,12:51:17.536,9.2137,log-1
topic_priority,12:51:19.986,8.3598,log-1
topic_priority,12:51:22.243,9.8072,log-1
topic_priority,12:51:23.020,10.1735,log-1
topic_priority,12:51:29.346,8.2246,log-1
topic_priority,12:51:30.960,10.4563,log-1
topic_priority,12:51:34.623,10.8865,log-1
topic_priority,12:51:36.497,7.9429,log-1
topic_priority,12:51:40.065,7.1897,log-1
topic_priority,12:51:44.356,7.5382,log-1
topic_priority,12:51:46.074,7.736,log-1
topic_priority,12:51:47.115,6.8925,log-1
topic_priority,12:51:48.843,6.6982,log-1
topic_priority,12:51:52.498,9.1324,log-1
topic_priority,12:51:55.744,8.1764,log-1
topic_priority,12:51:56.536,10.4031,log-1
topic_priority,12:51:59.006,7.2589,log-1
topic_priority,12:52:01.879,9.8542,log-1
topic_priority,12:52:02.760,12.5526,log-1
topic_priority,12:52:04.853,8.3992,log-1
topic_priority,12:52:05.619,7.295,log-1
topic_priority,12:52:08.259,7.0565,log-1
topic_priority,12:52:08.617,7.2343,log-1
topic_priority,12:52:14.551,7.466,log-1
topic_priority,12:52:16.400,9.7303,log-1
topic_priority,12:52:18.555,7.0024,log-1
topic_priority,12:52:19.686,7.6439,log-1
topic_priority,12:52:20.784,6.6723,log-1
topic_priority,12:52:25.219,7.7293,log-1
topic_priority,12:52:25.406,9.4194,log-1
topic_priority,12:52:27.257,8.2754,log-1
topic_priority,12:52:29.124,6.6253,log-1
topic_priority,12:52:31.904,7.0386,log-1
topic_priority,12:52:37.925,8.0597,log-1
topic_priority,12:52:39.808,6.4207,log-1
topic_priority,12:52:46.001,7.0627,log-1
topic_priority,12:52:51.727,8.0851,log-1
topic_priority,12:52:57.114,9.3358,log-1
topic_priority,12:52:58.983,8.2911,log-1
topic_priority,12:53:00.294,8.1078,log-1
topic_priority,12:53:01.862,10.0116,log-1
topic_priority,12:53:06.855,8.3676,log-1
topic_priority,12:53:10.873,8.5325,log-1
topic_priority,12:53:14.445,7.9953,log-1
topic_priority,12:53:17.312,9.359,log-1
topic_priority,12:53:17.324,7.629,log-1
topic_priority,12:53:20.483,8.1376,log-1
topic_priority,12:53:23.271,7.3352,log-1
topic_priority,12:53:26.523,6.6107,log-1
topic_priority,12:53:29.065,9.0323,log-1
topic_priority,12:53:31.662,10.657,log-1
topic_priority,12:53:35.233,6.9692,log-1
topic_priority,12:53:35.518,6.997,log-1
topic_priority,12:53:37.111,6.4728,log-1
topic_priority,12:53:39.293,6.9458,log-1
topic_priority,12:53:42.654,7.453,log-1
topic_priority,12:53:45.071,8.9041,log-1
topic_priority,12:53:45.077,8.1029,log-1
topic_priority,12:53:49.230,12.2212,log-1
topic_priority,12:53:51.527,7.4897,log-1
topic_priority,12:53:54.487,10.0328,log-1
topic_priority,12:53:58.644,8.3669,log-1
topic_priority,12:54:04.415,9.0075,log-1
topic_priority,12:54:06.153,9.2582,log-1
topic_priority,12:54:10.293,8.1644,log-1
topic_priority,12:54:16.136,8.958,log-1
topic_priority,12:54:21.166,9.245,log-1
topic_priority,12:54:24.307,11.2792,log-1
topic_priority,12:54:25.806,8.69,log-1
topic_priority,12:54:29.975,18.6027,log-1
topic_priority,12:54:33.521,10.4282,log-1
topic_priority,12:54:35.910,7.6283,log-1
topic_priority,12:54:37.150,7.1907,log-1
topic_priority,12:54:39.994,9.6367,log-1
topic_priority,12:54:42.384,10.3418,log-1
topic_priority,12:54:45.140,7.5035,log-1
topic_priority,12:54:47.474,11.0345,log-1
topic_priority,12:54:49.765,8.9317,log-1
topic_priority,12:54:49.852,7.5346,log-1
topic_priority,12:54:56.633,11.5534,log-1
topic_priority,12:54:58.971,11.1572,log-1
topic_priority,12:55:01.316,10.0753,log-1
topic_priority,12:55:02.709,11.5473,log-1
topic_priority,12:55:06.984,9.863,log-1
topic_priority,12:55:08.556,10.3713,log-1
topic_priority,12:55:11.384,10.9651,log-1
topic_priority,12:55:13.976,11.7681,log-1
topic_priority,12:55:19.609,12.204,log-1
topic_priority,12:55:23.111,10.9861,log-1
topic_priority,12:55:25.019,11.2874,log-1
topic_priority,12:55:26.794,22.5271,log-1
topic_priority,12:55:30.581,7.3387,log-1
topic_priority,12:55:36.144,7.2428,log-1
topic_priority,12:55:41.780,7.1002,log-1
topic_priority,12:55:46.295,7.258,log-1
topic_priority,12:55:50.665,9.3431,log-1
topic_priority,12:55:54.063,7.8484,log-1
topic_normal,12:51:02.961,11.9732,log-1
topic_normal,12:51:02.963,10.3528,log-1
topic_normal,12:51:03.320,9.4823,log-1
topic_normal,12:51:03.383,7.8687,log-1
topic_normal,12:51:04.665,8.0474,log-1
topic_normal,12:51:10.012,10.0484,log-1
topic_normal,12:51:17.256,7.9748,log-1
topic_normal,12:51:18.157,7.6778,log-1
topic_normal,12:51:18.845,7.6424,log-1
topic_normal,12:51:36.672,8.8358,log-1
topic_normal,12:51:38.247,8.6492,log-1
topic_normal,12:51:38.254,9.6732,log-1
topic_normal,12:51:39.437,7.4709,log-1
topic_normal,12:51:56.506,9.1693,log-1
topic_normal,12:52:01.606,8.6703,log-1
topic_normal,12:52:01.633,28.606,log-1
topic_normal,12:52:06.261,6.7939,log-1
topic_normal,12:52:19.065,9.6566,log-1
topic_normal,12:52:31.326,7.372,log-1
topic_normal,12:52:32.955,8.0682,log-1
topic_normal,12:52:32.959,6.6102,log-1
topic_normal,12:53:01.932,10.6216,log-1
topic_normal,12:53:12.151,9.3766,log-1
topic_normal,12:53:16.224,8.3647,log-1
topic_normal,12:53:22.232,10.2768,log-1
topic_normal,12:53:34.364,10.1219,log-1
topic_normal,12:53:46.823,8.2475,log-1
topic_normal,12:54:00.588,10.6354,log-1
topic_normal,12:54:04.464,8.8773,log-1
topic_normal,12:54:22.340,13.9476,log-1
topic_normal,12:54:46.487,12.4199,log-1
topic_normal,12:55:00.550,7.6312,log-1
topic_normal,12:55:02.056,7.7658,log-1
topic_normal,12:55:03.676,9.8484,log-1
topic_normal,12:55:34.582,7.4087,log-1
topic_normal,12:55:41.736,9.1115,log-1
topic_priority,12:51:00.300,970.31,log-2
topic_priority,12:51:00.300,14.6878,log-2
topic_priority,12:51:00.777,1001.8701,log-2
topic_priority,12:51:02.271,1002.4217,log-2
topic_priority,12:51:02.782,7.4234,log-2
topic_priority,12:51:03.356,10.4614,log-2
topic_priority,12:51:05.300,9.3567,log-2
topic_priority,12:51:05.390,10.4908,log-2
topic_priority,12:51:05.837,10.9264,log-2
topic_priority,12:51:09.080,8.8122,log-2
topic_priority,12:51:09.127,10.6457,log-2
topic_priority,12:51:09.620,9.7916,log-2
topic_priority,12:51:11.674,9.9065,log-2
topic_priority,12:51:14.366,14.0418,log-2
topic_priority,12:51:15.955,10.0259,log-2
topic_priority,12:51:17.403,7.8033,log-2
topic_priority,12:51:19.978,7.9842,log-2
topic_priority,12:51:20.134,6.7317,log-2
topic_priority,12:51:20.511,6.4773,log-2
topic_priority,12:51:23.010,10.3733,log-2
topic_priority,12:51:25.395,7.1149,log-2
topic_priority,12:51:27.285,7.7441,log-2
topic_priority,12:51:31.311,7.4615,log-2
topic_priority,12:51:34.623,12.7042,log-2
topic_priority,12:51:36.490,10.1109,log-2
topic_priority,12:51:41.548,9.4578,log-2
topic_priority,12:51:41.554,7.7464,log-2
topic_priority,12:51:43.149,7.1052,log-2
topic_priority,12:51:47.108,6.7771,log-2
topic_priority,12:51:52.499,9.6841,log-2
topic_priority,12:51:52.787,21.6016,log-2
topic_priority,12:51:56.527,8.5195,log-2
topic_priority,12:51:59.819,7.6603,log-2
topic_priority,12:52:00.004,10.7741,log-2
topic_priority,12:52:02.748,10.6255,log-2
topic_priority,12:52:02.997,8.0907,log-2
topic_priority,12:52:08.252,8.1574,log-2
topic_priority,12:52:13.114,7.2509,log-2
topic_priority,12:52:13.912,6.3147,log-2
topic_priority,12:52:14.545,7.1638,log-2
topic_priority,12:52:19.676,7.8926,log-2
topic_priority,12:52:22.536,7.9828,log-2
topic_priority,12:52:23.936,7.8849,log-2
topic_priority,12:52:25.214,9.057,log-2
topic_priority,12:52:26.211,7.3137,log-2
topic_priority,12:52:34.723,7.4432,log-2
topic_priority,12:52:37.918,11.8116,log-2
topic_priority,12:52:39.813,6.8093,log-2
topic_priority,12:52:45.995,8.0067,log-2
topic_priority,12:52:53.613,7.1547,log-2
topic_priority,12:52:57.105,8.2584,log-2
topic_priority,12:53:00.200,7.6998,log-2
topic_priority,12:53:00.286,7.0602,log-2
topic_priority,12:53:07.784,11.2967,log-2
topic_priority,12:53:17.302,7.8666,log-2
topic_priority,12:53:18.156,7.6466,log-2
topic_priority,12:53:26.517,7.5275,log-2
topic_priority,12:53:28.255,9.0877,log-2
topic_priority,12:53:31.656,10.462,log-2
topic_priority,12:53:35.510,6.9798,log-2
topic_priority,12:53:38.493,8.4735,log-2
topic_priority,12:53:45.063,9.7904,log-2
topic_priority,12:53:49.217,12.4979,log-2
topic_priority,12:54:00.730,10.2906,log-2
topic_priority,12:54:06.145,9.6338,log-2
topic_priority,12:54:12.253,8.0745,log-2
topic_priority,12:54:19.071,9.4018,log-2
topic_priority,12:54:22.348,9.8583,log-2
topic_priority,12:54:32.429,7.9809,log-2
topic_priority,12:54:35.903,8.1091,log-2
topic_priority,12:54:37.240,7.6695,log-2
topic_priority,12:54:43.350,7.7958,log-2
topic_priority,12:54:49.758,9.4997,log-2
topic_priority,12:54:54.499,10.0053,log-2
topic_priority,12:55:02.711,23.0599,log-2
topic_priority,12:55:04.879,7.142,log-2
topic_priority,12:55:16.175,8.7317,log-2
topic_priority,12:55:17.859,7.5202,log-2
topic_priority,12:55:25.124,13.3759,log-2
topic_priority,12:55:26.773,13.5588,log-2
topic_priority,12:55:27.052,10.0185,log-2
topic_priority,12:55:38.455,8.6122,log-2
topic_priority,12:55:49.275,8.821,log-2
topic_normal,12:51:02.950,8.0414,log-2
topic_normal,12:51:02.958,8.6594,log-2
topic_normal,12:51:03.308,13.1583,log-2
topic_normal,12:51:03.369,8.2077,log-2
topic_normal,12:51:04.657,7.5152,log-2
topic_normal,12:51:10.003,9.9559,log-2
topic_normal,12:51:17.249,7.8289,log-2
topic_normal,12:51:18.840,11.7346,log-2
topic_normal,12:51:18.858,8.2141,log-2
topic_normal,12:51:36.275,7.6281,log-2
topic_normal,12:51:38.283,8.6075,log-2
topic_normal,12:51:39.430,6.7811,log-2
topic_normal,12:51:39.677,7.281,log-2
topic_normal,12:51:55.788,15.8014,log-2
topic_normal,12:51:56.497,6.5532,log-2
topic_normal,12:52:01.858,7.4763,log-2
topic_normal,12:52:06.255,7.0334,log-2
topic_normal,12:52:17.016,10.7031,log-2
topic_normal,12:52:19.054,13.832,log-2
topic_normal,12:52:31.191,8.1358,log-2
topic_normal,12:52:31.319,7.8298,log-2
topic_normal,12:52:34.894,7.5365,log-2
topic_normal,12:53:00.181,8.0405,log-2
topic_normal,12:53:01.922,11.1952,log-2
topic_normal,12:53:14.006,6.8884,log-2
topic_normal,12:53:22.221,9.7811,log-2
topic_normal,12:53:34.355,10.1334,log-2
topic_normal,12:53:46.813,7.2351,log-2
topic_normal,12:53:51.916,20.1303,log-2
topic_normal,12:54:02.450,11.0823,log-2
topic_normal,12:54:22.327,11.6834,log-2
topic_normal,12:54:46.476,9.6493,log-2
topic_normal,12:54:46.894,10.5937,log-2
topic_normal,12:55:02.048,8.4393,log-2
topic_normal,12:55:05.500,7.3366,log-2
topic_normal,12:55:32.912,7.6266,log-2
topic_normal,12:55:34.575,8.6418,log-2
topic_priority,12:50:59.305,478.0496,log-3
topic_priority,12:51:01.282,989.3039,log-3
topic_priority,12:51:03.276,1007.4253,log-3
topic_priority,12:51:03.303,10.649,log-3
topic_priority,12:51:03.343,24.1638,log-3
topic_priority,12:51:05.291,8.3571,log-3
topic_priority,12:51:05.824,10.6309,log-3
topic_priority,12:51:06.301,17.7322,log-3
topic_priority,12:51:08.583,10.4987,log-3
topic_priority,12:51:09.116,6.7544,log-3
topic_priority,12:51:11.510,9.5751,log-3
