Port,Time,Utilization,FileId
5366,13:52:40.208,2.0,log-1
5366,13:52:40.988,2.0,log-1
5366,13:52:41.247,2.0,log-1
5366,13:52:41.500,2.0,log-1
5366,13:54:39.659,4.0,log-1
5366,13:54:39.715,4.0,log-1
5366,13:55:40.418,5.0,log-1
5366,13:55:40.625,5.0,log-1
5366,13:56:41.290,6.0,log-1
8304,13:52:15.223,1.0,log-2
8304,13:52:15.279,1.0,log-2
8304,13:53:37.156,3.0,log-2
8304,13:53:37.285,3.0,log-2
8304,13:54:38.694,4.0,log-2
8304,13:54:38.845,4.0,log-2
8304,13:55:38.968,5.0,log-2
8304,13:55:39.186,5.0,log-2
8304,13:55:39.479,5.0,log-2
8304,13:56:41.136,6.0,log-2
8304,13:56:41.289,6.0,log-2
6163,13:53:23.955,3.0,log-3
6163,13:54:19.605,4.0,log-3
6163,13:54:19.972,4.0,log-3
6163,13:54:20.306,4.0,log-3
6163,13:55:14.196,5.0,log-3
6163,13:56:15.397,6.0,log-3
6163,13:56:15.489,6.0,log-3
6163,13:56:15.658,6.0,log-3
6163,13:56:15.757,6.0,log-3
9174,13:52:14.755,1.0,log-4
9174,13:52:33.839,2.0,log-4
9174,13:52:33.906,2.0,log-4
9174,13:53:26.576,3.0,log-4
9174,13:54:22.615,4.0,log-4
9174,13:56:17.807,6.0,log-4
9174,13:56:17.907,6.0,log-4
