Topic,Time,Throughput,FileId
topic_priority,12:53:03.187,0,log-1
topic_priority,12:53:23.184,9,log-1
topic_priority,12:53:43.190,26,log-1
topic_priority,12:54:03.196,23,log-1
topic_priority,12:54:23.196,19,log-1
topic_priority,12:54:43.197,19,log-1
topic_priority,12:55:03.193,28,log-1
topic_priority,12:55:23.196,18,log-1
topic_priority,12:55:43.197,17,log-1
topic_priority,12:56:03.196,21,log-1
topic_priority,12:56:23.194,26,log-1
topic_priority,12:56:43.193,23,log-1
topic_priority,12:57:03.193,19,log-1
topic_priority,12:57:23.195,13,log-1
topic_priority,12:57:43.198,25,log-1
topic_priority,12:58:03.200,22,log-1
topic_priority,12:58:23.202,18,log-1
topic_priority,12:58:43.205,20,log-1
topic_priority,12:59:03.203,17,log-1
topic_priority,12:59:23.202,21,log-1
topic_priority,12:59:43.200,20,log-1
topic_priority,13:00:03.216,19,log-1
topic_priority,13:00:23.211,13,log-1
topic_priority,13:00:43.211,18,log-1
topic_priority,13:01:03.210,18,log-1
topic_priority,13:01:23.208,20,log-1
topic_priority,13:01:43.214,21,log-1
topic_priority,13:02:03.220,14,log-1
topic_priority,13:02:23.219,19,log-1
topic_priority,13:02:43.225,18,log-1
topic_priority,13:03:03.231,21,log-1
topic_priority,13:03:23.229,22,log-1
topic_priority,13:03:43.236,25,log-1
topic_priority,13:04:03.241,0,log-1
topic_priority,13:04:23.240,0,log-1
topic_priority,13:04:43.240,0,log-1
topic_priority,13:05:03.247,0,log-1
topic_priority,13:05:23.252,0,log-1
topic_priority,13:05:43.253,0,log-1
topic_priority,13:06:03.251,0,log-1
topic_priority,13:06:23.254,0,log-1
topic_priority,13:06:43.248,0,log-1
topic_priority,13:07:03.257,0,log-1
topic_priority,13:07:23.260,0,log-1
topic_priority,13:07:43.259,0,log-1
topic_priority,13:08:03.262,0,log-1
topic_priority,13:08:23.259,0,log-1
topic_priority,13:08:43.259,0,log-1
topic_priority,13:09:03.264,0,log-1
topic_priority,13:09:23.271,0,log-1
topic_priority,13:09:43.275,0,log-1
topic_priority,13:10:03.267,0,log-1
topic_priority,13:10:23.273,0,log-1
topic_priority,13:10:43.272,0,log-1
topic_priority,13:11:03.274,0,log-1
topic_priority,13:11:23.282,0,log-1
topic_priority,13:11:43.278,0,log-1
topic_priority,13:12:03.281,0,log-1
topic_priority,13:12:23.279,0,log-1
topic_priority,13:12:43.286,0,log-1
topic_priority,13:13:03.289,0,log-1
topic_priority,13:13:23.288,0,log-1
topic_priority,13:13:43.286,0,log-1
topic_priority,13:14:03.298,0,log-1
topic_priority,13:14:23.297,0,log-1
topic_priority,13:14:43.298,0,log-1
topic_priority,13:15:03.295,0,log-1
topic_priority,13:15:23.300,0,log-1
topic_priority,13:15:43.302,0,log-1
topic_priority,13:16:03.309,0,log-1
topic_priority,13:16:23.307,0,log-1
topic_priority,13:16:43.310,0,log-1
topic_priority,13:17:03.306,0,log-1
topic_priority,13:17:23.317,0,log-1
topic_priority,13:17:43.322,0,log-1
topic_priority,13:18:03.329,0,log-1
topic_priority,13:18:23.325,0,log-1
topic_priority,13:18:43.329,0,log-1
topic_priority,13:19:03.325,0,log-1
topic_priority,13:19:23.327,0,log-1
topic_priority,13:19:43.325,0,log-1
topic_priority,13:20:03.335,0,log-1
topic_priority,13:20:23.336,0,log-1
topic_priority,13:20:43.333,0,log-1
topic_priority,13:21:03.336,0,log-1
