Port,Time,Utilization,FileId
5344,09:51:58.874,3.0,log-1
5344,09:53:04.919,5.0,log-1
5344,09:53:32.283,6.0,log-1
5344,09:53:32.293,6.0,log-1
5344,09:55:11.490,9.0,log-1
5344,09:55:54.596,10.0,log-1
5344,09:56:36.768,11.0,log-1
5344,09:57:20.999,12.0,log-1
5344,09:58:00.509,13.0,log-1
5344,09:58:40.903,14.0,log-1
5344,09:59:48.654,16.0,log-1
5344,10:02:51.402,22.0,log-1
5344,10:03:23.123,23.0,log-1
9013,09:52:06.053,3.0,log-2
9013,09:52:38.033,4.0,log-2
9013,09:52:38.193,4.0,log-2
9013,09:53:42.247,6.0,log-2
9013,09:53:42.548,6.0,log-2
9013,09:55:36.452,9.0,log-2
9013,09:56:22.506,10.0,log-2
9013,09:57:06.699,11.0,log-2
9013,09:57:52.319,12.0,log-2
9013,09:58:31.746,13.0,log-2
9013,09:58:32.284,13.0,log-2
9013,09:59:09.089,14.0,log-2
9013,10:02:53.245,21.0,log-2
9013,10:03:53.318,23.0,log-2
8048,09:53:07.554,5.0,log-3
8048,09:53:07.915,5.0,log-3
8048,09:53:37.225,6.0,log-3
8048,09:55:34.630,9.0,log-3
8048,09:56:18.254,10.0,log-3
8048,09:57:08.089,11.0,log-3
8048,09:57:54.878,12.0,log-3
8048,09:58:36.385,13.0,log-3
8048,09:59:18.104,14.0,log-3
8048,10:02:35.138,20.0,log-3
8048,10:03:34.892,22.0,log-3
8048,10:04:04.405,23.0,log-3
9246,09:51:58.067,3.0,log-4
9246,09:52:33.303,4.0,log-4
9246,09:52:33.574,4.0,log-4
9246,09:53:01.949,5.0,log-4
9246,09:53:31.035,6.0,log-4
9246,09:55:20.920,9.0,log-4
9246,09:56:00.494,10.0,log-4
9246,10:00:38.443,17.0,log-4
9246,10:01:29.269,19.0,log-4
9246,10:02:33.004,21.0,log-4
9246,10:03:01.428,22.0,log-4
