Topic,Latency,FileId
topic_priority,1006.7792,log-1
topic_priority,877.8768,log-1
topic_priority,999.447,log-1
topic_normal,9.6406,log-1
topic_priority,8.4697,log-1
topic_normal,8.0569,log-1
topic_normal,9.0463,log-1
topic_priority,7.5766,log-1
topic_normal,9.2844,log-1
topic_priority,10.116,log-1
topic_priority,9.8912,log-1
topic_priority,7.6181,log-1
topic_normal,7.5446,log-1
topic_priority,12.9797,log-1
topic_normal,10.3397,log-1
topic_priority,9.1875,log-1
topic_priority,8.1572,log-1
topic_priority,7.7313,log-1
topic_normal,7.115,log-1
topic_priority,7.7129,log-1
topic_priority,8.5848,log-1
topic_normal,9.1836,log-1
topic_priority,11.268,log-1
topic_priority,11.4851,log-1
topic_normal,8.9198,log-1
topic_priority,7.5123,log-1
topic_priority,9.2133,log-1
topic_normal,6.9874,log-1
topic_priority,8.673,log-1
topic_priority,12.6413,log-1
topic_normal,10.0076,log-1
topic_priority,14.8953,log-1
topic_priority,7.7018,log-1
topic_priority,8.3871,log-1
topic_normal,7.6398,log-1
topic_priority,8.0948,log-1
topic_priority,8.983,log-1
topic_priority,7.0196,log-1
topic_priority,10.4954,log-1
topic_normal,10.8747,log-1
topic_priority,8.6102,log-1
topic_priority,10.2372,log-1
topic_normal,6.4847,log-1
topic_normal,8.2377,log-1
topic_priority,7.6744,log-1
topic_priority,12.5833,log-1
topic_priority,7.9163,log-1
topic_normal,8.05,log-1
topic_priority,8.2594,log-1
topic_priority,21.2247,log-1
topic_normal,10.1542,log-1
topic_priority,7.789,log-1
topic_priority,9.4678,log-1
topic_normal,9.1909,log-1
topic_priority,11.0175,log-1
topic_priority,8.8499,log-1
topic_priority,8.2707,log-1
topic_normal,8.6112,log-1
topic_priority,9.579,log-1
topic_normal,8.9761,log-1
topic_normal,7.9015,log-1
topic_priority,9.3858,log-1
topic_priority,10.9849,log-1
topic_priority,8.7809,log-1
topic_normal,8.1285,log-1
topic_priority,9.173,log-1
topic_normal,9.8304,log-1
topic_priority,12.6271,log-1
topic_priority,7.5042,log-1
topic_priority,8.1022,log-1
topic_priority,8.663,log-1
topic_priority,7.8072,log-1
topic_normal,7.3352,log-1
topic_normal,8.2296,log-1
topic_priority,9.5847,log-1
topic_priority,12.8666,log-1
topic_priority,8.1112,log-1
topic_priority,10.1625,log-1
topic_normal,8.0151,log-1
topic_priority,9.9635,log-1
topic_normal,9.7075,log-1
topic_priority,9.287,log-1
topic_normal,10.7008,log-1
topic_priority,6.5489,log-1
topic_priority,8.5423,log-1
topic_normal,9.9038,log-1
topic_priority,10.0851,log-1
topic_priority,13.1484,log-1
topic_priority,8.7781,log-1
topic_priority,8.4924,log-1
