Topic,Latency,FileId
topic_priority,173.6219,log-1
topic_priority,997.4517,log-1
topic_priority,272.3522,log-1
topic_priority,15.4341,log-1
topic_priority,17.2246,log-1
topic_priority,8.001,log-1
topic_normal,8.9073,log-1
topic_normal,10.6269,log-1
topic_normal,8.7771,log-1
topic_normal,9.165,log-1
topic_priority,11.3236,log-1
topic_priority,11.5301,log-1
topic_priority,11.6796,log-1
topic_priority,12.4144,log-1
topic_priority,12.6392,log-1
topic_priority,8.3805,log-1
topic_normal,9.9909,log-1
topic_normal,7.0677,log-1
topic_priority,7.1485,log-1
topic_priority,8.289,log-1
topic_priority,7.5512,log-1
topic_priority,9.4486,log-1
topic_priority,7.2756,log-1
topic_priority,6.9258,log-1
topic_normal,9.3257,log-1
topic_priority,10.9202,log-1
topic_priority,12.3844,log-1
topic_normal,7.4026,log-1
topic_priority,9.2682,log-1
topic_normal,7.5334,log-1
topic_normal,8.6384,log-1
topic_priority,12.701,log-1
topic_priority,10.8473,log-1
topic_priority,8.4322,log-1
topic_priority,7.9317,log-1
topic_priority,7.2022,log-1
topic_priority,10.2647,log-1
topic_priority,9.0054,log-1
topic_normal,10.8121,log-1
topic_priority,8.1757,log-1
topic_normal,6.406,log-1
topic_priority,8.1563,log-1
topic_priority,13.2121,log-1
topic_priority,11.2645,log-1
topic_priority,8.9276,log-1
topic_priority,8.2629,log-1
topic_priority,9.7998,log-1
topic_priority,9.3011,log-1
topic_priority,9.9372,log-1
topic_normal,7.6116,log-1
topic_normal,8.3962,log-1
topic_priority,9.3032,log-1
topic_priority,7.2213,log-1
topic_priority,8.3219,log-1
topic_priority,10.2003,log-1
topic_priority,7.5583,log-1
topic_priority,21.0867,log-1
topic_normal,7.3865,log-1
topic_normal,8.976,log-1
topic_normal,10.0476,log-1
topic_priority,6.5551,log-1
topic_priority,11.8516,log-1
topic_priority,7.5396,log-1
topic_priority,8.2165,log-1
topic_priority,8.3579,log-1
topic_normal,13.923,log-1
topic_priority,9.9256,log-1
topic_priority,6.6105,log-1
topic_priority,7.287,log-1
topic_priority,6.9655,log-1
topic_priority,6.7291,log-1
topic_normal,7.1277,log-1
topic_normal,7.1534,log-1
topic_priority,6.3331,log-1
topic_priority,10.8864,log-1
topic_priority,9.1348,log-1
topic_priority,10.1508,log-1
topic_priority,7.636,log-1
topic_normal,11.353,log-1
topic_normal,10.8215,log-1
topic_priority,8.6841,log-1
topic_normal,11.0254,log-1
topic_priority,6.8414,log-1
topic_priority,8.0552,log-1
topic_priority,7.056,log-1
topic_priority,7.7075,log-1
topic_priority,8.5185,log-1
topic_normal,6.8925,log-1
topic_priority,7.2178,log-1
topic_normal,9.782,log-1
topic_normal,7.5038,log-1
topic_priority,6.5183,log-1
topic_priority,9.192,log-1
topic_priority,7.3401,log-1
topic_priority,7.8034,log-1
topic_priority,7.2063,log-1
topic_normal,8.9038,log-1
topic_priority,11.6274,log-1
topic_normal,8.6598,log-1
topic_priority,7.9176,log-1
topic_priority,14.4443,log-1
topic_priority,7.6558,log-1
topic_priority,7.7563,log-1
topic_priority,10.2575,log-1
topic_normal,7.7331,log-1
topic_priority,7.6389,log-1
topic_priority,8.0951,log-1
topic_priority,9.0715,log-1
topic_priority,6.9111,log-1
topic_priority,10.6373,log-1
topic_priority,12.4895,log-1
topic_normal,11.2318,log-1
topic_priority,7.1059,log-1
topic_normal,9.7063,log-1
topic_normal,11.2067,log-1
topic_priority,12.4038,log-1
topic_priority,19.6417,log-1
topic_priority,10.7584,log-1
topic_priority,8.015,log-1
topic_priority,8.475,log-1
topic_normal,8.1889,log-1
topic_normal,15.2019,log-1
topic_priority,7.0492,log-1
topic_priority,7.9847,log-1
topic_priority,8.6789,log-1
topic_priority,12.4748,log-1
topic_normal,10.4207,log-1
topic_priority,29.2897,log-1
topic_priority,7.818,log-1
topic_priority,9.2754,log-1
topic_normal,8.9434,log-1
topic_normal,9.8182,log-1
topic_priority,8.2595,log-1
topic_priority,8.681,log-1
topic_normal,10.5968,log-1
topic_priority,11.4803,log-1
topic_priority,10.0883,log-1
topic_priority,9.9686,log-1
topic_normal,12.7142,log-1
topic_priority,7.2597,log-1
topic_normal,6.9703,log-1
topic_priority,7.8707,log-1
topic_priority,8.5804,log-1
topic_priority,9.0265,log-1
topic_normal,9.2651,log-1
topic_normal,18.3333,log-1
topic_priority,14.264,log-1
topic_priority,12.359,log-1
topic_priority,13.522,log-1
topic_priority,6.9978,log-1
topic_priority,7.7081,log-1
topic_normal,9.4408,log-1
topic_normal,10.6617,log-1
topic_normal,11.1358,log-1
topic_priority,11.0927,log-1
topic_priority,10.9209,log-1
topic_priority,9.1697,log-1
topic_priority,9.3371,log-1
topic_normal,7.0583,log-1
topic_normal,10.3977,log-1
topic_priority,7.4527,log-1
topic_priority,7.4331,log-1
topic_priority,13.4151,log-1
topic_priority,13.1701,log-1
topic_priority,7.3703,log-1
topic_normal,8.2678,log-1
topic_priority,13.3588,log-1
topic_priority,13.6445,log-1
topic_priority,7.1073,log-1
topic_normal,8.7414,log-1
topic_normal,22.1027,log-1
topic_priority,8.3767,log-1
topic_priority,10.9422,log-1
topic_priority,13.4618,log-1
topic_normal,18.282,log-1
topic_priority,11.2279,log-1
topic_normal,7.0498,log-1
topic_normal,10.2074,log-1
topic_priority,14.3198,log-1
topic_priority,7.4105,log-1
topic_priority,11.5337,log-1
topic_priority,8.7257,log-1
topic_priority,7.8475,log-1
topic_normal,9.5978,log-1
topic_priority,13.3265,log-1
topic_priority,8.516,log-1
topic_priority,11.9612,log-1
topic_normal,7.2849,log-1
topic_normal,11.7857,log-1
topic_priority,11.6109,log-1
topic_priority,8.3204,log-1
topic_priority,15.9557,log-1
topic_normal,8.2098,log-1
topic_priority,8.3289,log-1
topic_priority,8.5376,log-1
topic_priority,15.3663,log-1
topic_priority,16.8789,log-1
topic_priority,9.9885,log-1
topic_normal,10.9217,log-1
topic_priority,7.9064,log-1
topic_priority,14.5272,log-1
topic_priority,13.5351,log-1
topic_normal,16.5225,log-1
topic_normal,8.6451,log-1
topic_priority,9.8794,log-1
topic_priority,11.5826,log-1
topic_priority,10.3163,log-1
topic_priority,52.0045,log-1
topic_priority,9.8483,log-1
topic_normal,14.3017,log-1
topic_normal,16.3538,log-1
topic_priority,9.3338,log-1
topic_priority,9.7081,log-1
topic_priority,17.894,log-1
topic_normal,13.0094,log-1
topic_priority,9.924,log-1
topic_priority,10.2099,log-1
topic_priority,7.9289,log-1
topic_normal,9.8555,log-1
