Topic,Time,ConsumerCount,FileId
topic_priority,16:25:44.127,1,log-1
topic_priority,16:25:44.707,2,log-1
topic_priority,16:25:45.553,3,log-1
topic_priority,16:25:46.520,4,log-1
topic_priority,16:25:56.518,5,log-1
topic_priority,16:25:59.039,6,log-1
topic_priority,16:25:59.686,7,log-1
topic_priority,16:25:59.941,8,log-1
topic_priority,16:26:00.617,9,log-1
topic_priority,16:26:01.298,10,log-1
topic_priority,16:26:02.044,11,log-1
topic_priority,16:26:02.572,12,log-1
topic_priority,16:26:03.380,13,log-1
topic_priority,16:26:04.245,14,log-1
topic_priority,16:26:04.711,15,log-1
topic_priority,16:26:05.293,16,log-1
topic_priority,16:26:05.741,17,log-1
topic_priority,16:26:06.528,18,log-1
topic_priority,16:26:07.166,19,log-1
topic_priority,16:26:07.955,20,log-1
topic_priority,16:26:13.501,21,log-1
topic_priority,16:26:18.684,22,log-1
topic_priority,16:26:23.706,23,log-1
topic_priority,16:26:24.662,24,log-1
topic_priority,16:26:25.254,25,log-1
topic_priority,16:26:26.119,26,log-1
topic_priority,16:26:26.591,27,log-1
topic_priority,16:26:27.349,28,log-1
topic_priority,16:26:28.045,29,log-1
topic_priority,16:26:32.624,30,log-1
topic_priority,16:26:40.180,33,log-1
topic_priority,16:26:48.079,34,log-1
topic_priority,16:26:54.333,35,log-1
topic_priority,16:26:54.829,36,log-1
topic_priority,16:26:55.619,37,log-1
topic_priority,16:26:56.068,38,log-1
topic_priority,16:27:03.053,39,log-1
topic_priority,16:27:03.517,40,log-1
topic_priority,16:27:10.261,53,log-1
topic_priority,16:27:16.641,54,log-1
topic_priority,16:27:19.884,55,log-1
topic_priority,16:27:20.209,56,log-1
topic_priority,16:27:20.894,57,log-1
topic_priority,16:27:21.359,58,log-1
topic_priority,16:27:21.916,59,log-1
topic_priority,16:27:22.332,60,log-1
topic_priority,16:27:23.108,61,log-1
topic_priority,16:27:23.652,62,log-1
topic_priority,16:27:26.763,64,log-1
topic_priority,16:27:27.609,65,log-1
topic_priority,16:27:28.286,66,log-1
topic_priority,16:27:29.321,67,log-1
topic_priority,16:27:30.096,68,log-1
topic_priority,16:27:30.610,69,log-1
topic_priority,16:27:31.262,70,log-1
topic_priority,16:27:31.957,71,log-1
topic_priority,16:27:39.687,72,log-1
topic_priority,16:27:45.346,86,log-1
topic_priority,16:27:52.523,87,log-1
topic_priority,16:27:53.112,88,log-1
topic_priority,16:27:53.994,89,log-1
topic_priority,16:27:54.660,90,log-1
topic_priority,16:27:55.604,91,log-1
topic_priority,16:27:55.899,92,log-1
topic_priority,16:28:03.728,93,log-1
topic_priority,16:28:11.656,94,log-1
topic_priority,16:28:16.282,100,log-1
topic_priority,16:28:22.469,101,log-1
topic_priority,16:28:23.258,102,log-1
topic_priority,16:28:23.922,103,log-1
topic_priority,16:28:24.449,104,log-1
topic_priority,16:28:25.037,105,log-1
topic_priority,16:28:29.852,106,log-1
topic_priority,16:28:30.349,107,log-1
topic_priority,16:28:30.857,108,log-1
topic_priority,16:28:31.554,109,log-1
topic_priority,16:28:31.896,110,log-1
topic_priority,16:28:32.628,111,log-1
topic_priority,16:28:33.298,112,log-1
topic_priority,16:28:38.202,113,log-1
topic_priority,16:28:38.667,114,log-1
topic_priority,16:28:43.890,115,log-1
topic_priority,16:28:44.693,116,log-1
topic_priority,16:28:45.169,117,log-1
topic_priority,16:28:45.893,118,log-1
topic_priority,16:28:46.389,119,log-1
topic_priority,16:28:46.789,120,log-1
topic_priority,16:28:47.406,121,log-1
topic_priority,16:28:47.901,122,log-1
topic_priority,16:28:48.378,123,log-1
topic_priority,16:28:49.120,124,log-1
topic_priority,16:28:56.220,150,log-1
topic_priority,16:29:01.089,151,log-1
topic_priority,16:29:08.748,152,log-1
topic_priority,16:29:09.167,153,log-1
topic_priority,16:29:09.740,154,log-1
topic_priority,16:29:10.174,155,log-1
topic_priority,16:29:10.622,156,log-1
topic_priority,16:29:11.219,157,log-1
topic_priority,16:29:11.808,158,log-1
topic_priority,16:29:17.259,159,log-1
topic_priority,16:29:23.523,160,log-1
topic_priority,16:29:24.390,161,log-1
topic_priority,16:29:24.837,162,log-1
topic_priority,16:29:25.485,163,log-1
topic_priority,16:29:25.840,164,log-1
topic_priority,16:29:26.380,165,log-1
topic_priority,16:29:30.980,166,log-1
topic_priority,16:29:31.615,167,log-1
topic_priority,16:29:31.908,168,log-1
topic_priority,16:29:32.636,169,log-1
topic_priority,16:29:33.145,170,log-1
topic_priority,16:29:33.749,171,log-1
topic_priority,16:29:34.362,172,log-1
topic_priority,16:29:39.063,173,log-1
topic_priority,16:29:39.938,174,log-1
topic_priority,16:29:40.877,175,log-1
topic_priority,16:29:47.135,188,log-1
topic_priority,16:29:47.729,189,log-1
topic_priority,16:29:48.187,190,log-1
topic_priority,16:29:48.722,191,log-1
topic_priority,16:29:49.510,192,log-1
topic_priority,16:29:50.483,193,log-1
topic_priority,16:29:50.918,194,log-1
topic_priority,16:29:58.501,195,log-1
topic_priority,16:29:59.088,196,log-1
topic_priority,16:29:59.524,197,log-1
topic_priority,16:30:00.114,198,log-1
topic_priority,16:30:00.718,199,log-1
topic_priority,16:30:01.741,200,log-1
topic_priority,16:30:02.544,201,log-1
topic_priority,16:30:03.193,202,log-1
topic_priority,16:30:03.734,203,log-1
topic_priority,16:30:04.197,204,log-1
topic_priority,16:30:04.686,205,log-1
topic_priority,16:30:05.254,206,log-1
topic_priority,16:30:05.659,207,log-1
topic_priority,16:30:06.436,208,log-1
topic_priority,16:30:07.233,209,log-1
topic_priority,16:30:07.690,210,log-1
topic_priority,16:30:08.513,211,log-1
topic_priority,16:30:09.381,212,log-1
topic_priority,16:30:14.411,218,log-1
topic_priority,16:30:14.862,219,log-1
topic_priority,16:30:15.407,220,log-1
topic_priority,16:30:15.982,221,log-1
topic_priority,16:30:16.308,222,log-1
topic_priority,16:30:16.835,223,log-1
topic_priority,16:30:17.654,224,log-1
topic_priority,16:30:18.381,225,log-1
topic_priority,16:30:19.211,226,log-1
topic_priority,16:30:20.093,227,log-1
topic_priority,16:30:20.802,228,log-1
topic_priority,16:30:21.668,229,log-1
topic_priority,16:30:22.326,230,log-1
topic_priority,16:30:23.221,231,log-1
topic_priority,16:30:23.560,232,log-1
topic_priority,16:30:24.354,233,log-1
topic_priority,16:30:25.053,234,log-1
topic_priority,16:30:25.734,235,log-1
topic_normal,16:25:46.367,1,log-1
topic_normal,16:25:46.985,2,log-1
topic_normal,16:25:47.704,3,log-1
topic_normal,16:25:48.572,4,log-1
topic_normal,16:25:49.527,5,log-1
topic_normal,16:25:50.342,6,log-1
topic_normal,16:25:50.955,7,log-1
topic_normal,16:25:51.430,8,log-1
topic_normal,16:25:51.851,9,log-1
topic_normal,16:25:52.496,10,log-1
topic_normal,16:25:53.072,11,log-1
topic_normal,16:25:56.050,12,log-1
topic_normal,16:26:06.278,15,log-1
topic_normal,16:26:07.073,24,log-1
topic_normal,16:26:07.816,25,log-1
topic_normal,16:26:08.600,26,log-1
topic_normal,16:26:09.324,27,log-1
topic_normal,16:26:10.203,28,log-1
topic_normal,16:26:10.554,29,log-1
topic_normal,16:26:11.325,30,log-1
topic_normal,16:26:12.104,31,log-1
topic_normal,16:26:12.618,32,log-1
topic_normal,16:26:13.316,33,log-1
topic_normal,16:26:13.563,34,log-1
topic_normal,16:26:14.430,35,log-1
topic_normal,16:26:20.646,36,log-1
topic_normal,16:26:21.492,37,log-1
topic_normal,16:26:22.332,38,log-1
topic_normal,16:26:22.878,39,log-1
topic_normal,16:26:23.566,43,log-1
topic_normal,16:26:24.199,44,log-1
topic_normal,16:26:24.769,45,log-1
topic_normal,16:26:30.315,46,log-1
topic_normal,16:26:38.068,47,log-1
topic_normal,16:26:38.387,48,log-1
topic_normal,16:26:38.941,49,log-1
topic_normal,16:26:39.594,50,log-1
topic_normal,16:26:40.043,51,log-1
topic_normal,16:26:40.752,52,log-1
topic_normal,16:26:41.635,53,log-1
topic_normal,16:26:42.208,54,log-1
topic_normal,16:26:42.817,55,log-1
topic_normal,16:26:43.499,56,log-1
topic_normal,16:26:44.225,57,log-1
topic_normal,16:26:44.848,58,log-1
topic_normal,16:26:45.668,59,log-1
topic_normal,16:26:46.070,60,log-1
topic_normal,16:26:46.612,61,log-1
topic_normal,16:26:47.308,62,log-1
topic_normal,16:26:47.675,72,log-1
topic_normal,16:26:48.433,73,log-1
topic_normal,16:26:49.428,74,log-1
topic_normal,16:26:50.213,75,log-1
