Collection,Time,Throughput,FileId,Topic
,09:23:41.600,0,log-1,topic_priority
,09:24:01.610,3,log-1,topic_priority
,09:24:21.609,6,log-1,topic_priority
,09:24:41.608,6,log-1,topic_priority
,09:25:01.612,7,log-1,topic_priority
,09:25:21.608,7,log-1,topic_priority
,09:25:41.609,7,log-1,topic_priority
,09:26:01.609,6,log-1,topic_priority
,09:26:21.625,8,log-1,topic_priority
,09:26:41.622,7,log-1,topic_priority
,09:27:01.617,6,log-1,topic_priority
,09:27:21.619,8,log-1,topic_priority
,09:27:41.619,7,log-1,topic_priority
,09:28:01.622,6,log-1,topic_priority
,09:28:21.621,7,log-1,topic_priority
,09:28:41.621,6,log-1,topic_priority
,09:29:01.617,8,log-1,topic_priority
,09:29:21.620,7,log-1,topic_priority
,09:29:41.629,6,log-1,topic_priority
,09:30:01.630,7,log-1,topic_priority
,09:30:21.634,7,log-1,topic_priority
,09:30:41.629,0,log-1,topic_priority
,09:31:01.631,0,log-1,topic_priority
,09:31:21.631,0,log-1,topic_priority
,09:31:41.632,0,log-1,topic_priority
,09:32:01.636,0,log-1,topic_priority
,09:32:21.642,0,log-1,topic_priority
,09:32:41.638,0,log-1,topic_priority
,09:33:01.637,0,log-1,topic_priority
,09:33:21.635,0,log-1,topic_priority
,09:33:41.650,0,log-1,topic_priority
,09:34:01.648,0,log-1,topic_priority
,09:34:21.646,0,log-1,topic_priority
,09:34:41.649,0,log-1,topic_priority
,09:35:01.648,0,log-1,topic_priority
,09:35:21.646,0,log-1,topic_priority
,09:35:41.659,0,log-1,topic_priority
,09:36:01.661,0,log-1,topic_priority
,09:36:21.655,0,log-1,topic_priority
,09:36:41.655,0,log-1,topic_priority
,09:23:41.617,0,log-1,topic_normal
,09:24:01.610,3,log-1,topic_normal
,09:24:21.609,3,log-1,topic_normal
,09:24:41.608,6,log-1,topic_normal
,09:25:01.612,3,log-1,topic_normal
,09:25:21.608,4,log-1,topic_normal
,09:25:41.609,4,log-1,topic_normal
,09:26:01.609,5,log-1,topic_normal
